
==== START 2026-07-30 04:59:40 ====
CMD: conda run -n deeplearning --no-capture-output python -u /home/user/Desktop/Deep_learning_projects/4PI/Landslide_segmentation/codebase/Geo_physics_equation_derived_model/from_first_steps/training.py --dataset_root /home/user/Desktop/Deep_learning_projects/4PI/dataset --output_dir /home/user/Desktop/Deep_learning_projects/4PI/Landslide_segmentation/codebase/Geo_physics_equation_derived_model/from_first_steps/outputs_ablation/l4s/no_cmb --prithvi_snapshot /home/user/Desktop/Deep_learning_projects/4PI/prithvi_weights/models--ibm-nasa-geospatial--Prithvi-EO-2.0-100M-TL --compact --epochs 40 --batch_size 2 --num_workers 4 --device cuda:0 --no-auto_gpu --min_free_gb 0.5 --seed 42 --save_every 5 --resume --no_cmb
Landslide4Sense | train=3419 val=380 | PS-GPLNet
Compact mode: B0 backbone, fusion C=32, LoRA r=4 (dual decoders unchanged).
Building GeoPhysicsLandslideNet on CPU...
Unexpected keys (bn2.num_batches_tracked, bn2.bias, bn2.running_mean, bn2.running_var, bn2.weight, classifier.bias, classifier.weight, conv_head.weight) found while loading pretrained weights. This may be expected if model is being adapted.
Unexpected keys (bn2.num_batches_tracked, bn2.bias, bn2.running_mean, bn2.running_var, bn2.weight, classifier.bias, classifier.weight, conv_head.weight) found while loading pretrained weights. This may be expected if model is being adapted.
Using Prithvi snapshot: /home/user/Desktop/Deep_learning_projects/4PI/prithvi_weights/models--ibm-nasa-geospatial--Prithvi-EO-2.0-100M-TL/snapshots/2c84e383194986040f883cc43d7869002c425e1b
Model params: trainable=0.96M total=94.39M
Training pid=246795 on cuda:0 | amp=False
[GPU] Visible CUDA devices: 1
[GPU]   cuda:0 free=11.51 GiB / total=11.63 GiB | torch allocated=0.0 MiB
[GPU] nvidia-smi compute apps:
GPU-85f17fb3-3311-e91b-13cb-f9b3fd29c1df, 00000000:05:00.0, 246795, python, 104 MiB
Moving model to GPU...

Train:   0%|          | 0/1710 [00:00<?, ?it/s]
Train:   0%|          | 1/1710 [00:00<22:20,  1.27it/s]
Train:   0%|          | 2/1710 [00:01<13:20,  2.13it/s]
Train:   0%|          | 3/1710 [00:01<10:29,  2.71it/s]
Train:   0%|          | 4/1710 [00:01<09:07,  3.12it/s]
Train:   0%|          | 5/1710 [00:01<08:21,  3.40it/s]
Train:   0%|          | 6/1710 [00:02<07:54,  3.59it/s]
Train:   0%|          | 7/1710 [00:02<07:36,  3.73it/s]
Train:   0%|          | 8/1710 [00:02<07:24,  3.83it/s]
Train:   1%|          | 9/1710 [00:02<07:17,  3.89it/s]
Train:   1%|          | 10/1710 [00:03<07:11,  3.94it/s]
Train:   1%|          | 11/1710 [00:03<07:07,  3.97it/s]
Train:   1%|          | 12/1710 [00:03<07:05,  3.99it/s]
Train:   1%|          | 13/1710 [00:03<07:03,  4.01it/s]
Train:   1%|          | 14/1710 [00:04<07:01,  4.02it/s]
Train:   1%|          | 15/1710 [00:04<07:00,  4.03it/s]
Train:   1%|          | 16/1710 [00:04<06:59,  4.03it/s]
Train:   1%|          | 17/1710 [00:04<06:59,  4.04it/s]
Train:   1%|          | 18/1710 [00:04<06:58,  4.04it/s]
Train:   1%|          | 19/1710 [00:05<06:58,  4.04it/s]
Train:   1%|          | 20/1710 [00:05<06:57,  4.05it/s]
Train:   1%|          | 21/1710 [00:05<06:57,  4.05it/s]
Train:   1%|▏         | 22/1710 [00:05<06:56,  4.05it/s]
Train:   1%|▏         | 23/1710 [00:06<06:56,  4.05it/s]
Train:   1%|▏         | 24/1710 [00:06<06:56,  4.04it/s]
Train:   1%|▏         | 25/1710 [00:06<06:56,  4.05it/s]
Train:   2%|▏         | 26/1710 [00:06<06:56,  4.04it/s]
Train:   2%|▏         | 27/1710 [00:07<06:55,  4.05it/s]
Train:   2%|▏         | 28/1710 [00:07<06:55,  4.05it/s]
Train:   2%|▏         | 29/1710 [00:07<06:55,  4.04it/s]
Train:   2%|▏         | 30/1710 [00:07<06:55,  4.04it/s]
Train:   2%|▏         | 31/1710 [00:08<06:55,  4.04it/s]
Train:   2%|▏         | 32/1710 [00:08<06:55,  4.04it/s]
Train:   2%|▏         | 33/1710 [00:08<06:54,  4.04it/s]
Train:   2%|▏         | 34/1710 [00:08<06:54,  4.04it/s]
Train:   2%|▏         | 35/1710 [00:09<06:54,  4.04it/s]
Train:   2%|▏         | 36/1710 [00:09<06:53,  4.04it/s]
Train:   2%|▏         | 37/1710 [00:09<06:53,  4.04it/s]
Train:   2%|▏         | 38/1710 [00:09<06:53,  4.04it/s]
Train:   2%|▏         | 39/1710 [00:10<06:53,  4.05it/s]
Train:   2%|▏         | 40/1710 [00:10<06:52,  4.05it/s]
Train:   2%|▏         | 41/1710 [00:10<06:52,  4.05it/s]
Train:   2%|▏         | 42/1710 [00:10<06:52,  4.04it/s]
Train:   3%|▎         | 43/1710 [00:11<06:52,  4.04it/s]
Train:   3%|▎         | 44/1710 [00:11<06:51,  4.05it/s]
Train:   3%|▎         | 45/1710 [00:11<06:51,  4.05it/s]
Train:   3%|▎         | 46/1710 [00:11<06:51,  4.04it/s]
Train:   3%|▎         | 47/1710 [00:12<06:51,  4.05it/s]
Train:   3%|▎         | 48/1710 [00:12<06:50,  4.04it/s]
Train:   3%|▎         | 49/1710 [00:12<06:50,  4.04it/s]
Train:   3%|▎         | 50/1710 [00:12<06:50,  4.04it/s]
Train:   3%|▎         | 51/1710 [00:13<06:50,  4.04it/s]
Train:   3%|▎         | 52/1710 [00:13<06:49,  4.04it/s]
Train:   3%|▎         | 53/1710 [00:13<06:49,  4.04it/s]
Train:   3%|▎         | 54/1710 [00:13<06:49,  4.04it/s]
Train:   3%|▎         | 55/1710 [00:14<06:49,  4.04it/s]
Train:   3%|▎         | 56/1710 [00:14<06:49,  4.04it/s]
Train:   3%|▎         | 57/1710 [00:14<06:49,  4.04it/s]
Train:   3%|▎         | 58/1710 [00:14<06:48,  4.04it/s]
Train:   3%|▎         | 59/1710 [00:15<06:48,  4.04it/s]
Train:   4%|▎         | 60/1710 [00:15<06:48,  4.04it/s]
